Check,Category,alternative_message,public_id
AssignmentInConditionalCheck,code_smell,Avoid assignment in conditional.,assignment_in_conditional
CaseMissingElseCheck,code_smell,Always define an else in case statement.,always_else_in_case
ClassNameCheck,style,Use proper naming conventions for your class.,naming_convention_for_class
SingletonVariableCheck,code_smell,Avoid singleton variable.,avoid_singleton_variable
ClassVariableCheck,code_smell,Avoid singleton variable.,avoid_singleton_variable
EmptyRescueBodyCheck,code_smell,Avoid empty rescue block.,avoid_empty_rescue_block
PutsCheck,code_smell,Use a logger instead of puts or add assertion.,use_a_logger
ModuleNameCheck,style,Rename your module to fit the naming convention.,naming_convention_for_module
ParameterNumberCheck,code_smell,Reduce the number of parameters.,reduce_number_of_params
FlogClassCheck,complexity,Consider refactoring this complex class.,refactor_complex_class
FlogMethodCheck,complexity,Consider refactoring this complex method.,refactor_complex_method
ForLoopCheck,code_smell,Use enumerable methods instead of for loop.,no_for_loop
Rails::InstanceVarInPartialCheck,design,Replace instance variable by parameter in partial,no_instance_variable_in_partial
Rails::ParamsHashInViewCheck,design,Set variables in place of referencing params in view,no_params_in_view
Rails::SessionHashInViewCheck,design,Set variables in place of referencing session in view,no_session_in_view
MethodNameCheck,style,Fix method name,naming_convention_for_method
AlwaysAddDbIndexReview,design,Add database index,add_db_index
CheckSaveReturnValueReview,design,"Check the return value of save, otherwise use save!",check_return_value_of_save
HashSyntaxReview,style,Use the new Ruby 1.9+ hash syntax,prefer_ruby_19_new_hash_syntax
RemoveTabCheck,style,Use spaces instead of tabs,uses_spaces_instead_of_tabs
RemoveTrailingWhitespaceCheck,style,Remove trailing whitespace,remove_trailing_whitespace
RestrictAutoGeneratedRoutesReview,design,Restrict auto generated routes,restrict_auto_generated_routes
SimplifyRenderInControllersReview,design,Simplify call to render,simplify_call_to_render
SimplifyRenderInViewsReview,design,Simplify call to render partial,simplify_call_to_render_partial
avoid_using_{}_for_multi-line_blocks,style,,avoid_using_curly_braces_for_multi-line_blocks
ruby_18_hash_syntax_detected,style,,prefer_ruby_19_new_hash_syntax
use_def_with_parentheses_when_there_are_arguments,style,,use_def_with_parentheses_when_there_are_arguments
add_underscores_to_large_numeric_literals_to_improve_their_readability,style,,add_underscores_to_large_numeric
space_missing_after_comma,style,,space_missing_after_comma
space_missing_after_colon,style,,space_missing_after_colon
space_missing_to_the_left_of_'}',style,,space_missing_to_left_of_parentheses
